C,class_weight,mean_val_accuracy,std_val_accuracy,mean_val_f1,std_val_f1
0.001,,0.8545205479452054,0.012416733362876345,0.724712456046954,0.023671885040005867
0.001,balanced,0.8794520547945206,0.00636654796636834,0.8107671765571333,0.008099727566369579
0.01,,0.9016438356164385,0.006506488814815299,0.8312970468627267,0.009035830841941983
0.01,balanced,0.9232876712328766,0.002292219250778293,0.8731790396421533,0.004241494001434094
0.1,,0.929041095890411,0.012325722607344654,0.8785151006821394,0.0209290495820733
0.1,balanced,0.9356164383561645,0.0028734488990963046,0.8911415788163828,0.003322015124769213
1.0,,0.9454794520547946,0.009226004515332996,0.9068939759352597,0.015550909398934795
1.0,balanced,0.9528767123287671,0.005022000761595431,0.9204271775528745,0.009999134935305453
10.0,,0.9539726027397262,0.008200892902518244,0.9236608480409488,0.014069154093542403
10.0,balanced,0.9564383561643837,0.002793983295119338,0.9246221464371704,0.005550215599101271
100.0,,0.953972602739726,0.010236461201243531,0.9230839738678723,0.01692231463442691
100.0,balanced,0.9635616438356165,0.005382707590243431,0.9360814099854986,0.010364917824965913
1000.0,,0.9561643835616438,0.002873448899096326,0.9273086347744313,0.005131149636453979
1000.0,balanced,0.9545205479452055,0.009740487032674614,0.9244936632336449,0.016100195364321498
